product_id,product_name,category,sub_category,brand,unit_price,cost_price
P0001,BrightHome Smartphone,Electronics,Smartphone,NovaLite,1091.61,531.34
P0002,AlphaTech Smartphone,Electronics,Smartphone,UrbanCo,176.05,119.51
P0003,UrbanCo Laptop,Electronics,Laptop,NovaLite,938.14,458.36
P0004,AlphaTech Laptop,Electronics,Laptop,NovaLite,187.03,120.18
P0005,EcoBasics Wireless Earbuds,Electronics,Wireless Earbuds,NovaLite,1356.34,907.88
P0006,Nexa Wireless Earbuds,Electronics,Wireless Earbuds,MajuMart,563.56,312.84
P0007,MajuMart Smartwatch,Electronics,Smartwatch,NovaLite,1291.87,738.78
P0008,UrbanCo Smartwatch,Electronics,Smartwatch,EcoBasics,2385.46,1361.81
P0009,DailyChoice Power Bank,Electronics,Power Bank,BrightHome,72.85,51.64
P0010,AlphaTech Power Bank,Electronics,Power Bank,UrbanCo,1710.21,1157.86
P0011,AlphaTech Keyboard,Electronics,Keyboard,BrightHome,2463.73,1434.39
P0012,SwiftFit Keyboard,Electronics,Keyboard,DailyChoice,1803.18,1166.66
P0013,NovaLite Mouse,Electronics,Mouse,BrightHome,143.29,71.47
P0014,UrbanCo Mouse,Electronics,Mouse,EcoBasics,2524.19,1794.54
P0015,SwiftFit Tablet,Electronics,Tablet,MajuMart,246.04,160.33
P0016,BrightHome Tablet,Electronics,Tablet,UrbanCo,398.44,213.79
P0017,NovaLite T-Shirt,Fashion,T-Shirt,MajuMart,122.89,64.67
P0018,AlphaTech T-Shirt,Fashion,T-Shirt,NovaLite,78.83,43.58
P0019,Nexa Sneakers,Fashion,Sneakers,NovaLite,150.24,106.31
P0020,EcoBasics Sneakers,Fashion,Sneakers,BrightHome,208.1,145.12
P0021,DailyChoice Jeans,Fashion,Jeans,SwiftFit,20.23,14.7
P0022,ZenCare Jeans,Fashion,Jeans,MajuMart,31.66,19.46
P0023,AlphaTech Hoodie,Fashion,Hoodie,AlphaTech,38.65,21.13
P0024,DailyChoice Hoodie,Fashion,Hoodie,EcoBasics,38.33,24.45
P0025,MajuMart Cap,Fashion,Cap,AlphaTech,55.69,41.73
P0026,UrbanCo Cap,Fashion,Cap,MajuMart,87.2,59.65
P0027,EcoBasics Backpack,Fashion,Backpack,DailyChoice,129.23,89.67
P0028,ZenCare Backpack,Fashion,Backpack,AlphaTech,20.13,11.74
P0029,Nexa Jacket,Fashion,Jacket,UrbanCo,36.7,23.1
P0030,BrightHome Jacket,Fashion,Jacket,SwiftFit,149.12,93.2
P0031,ZenCare Watch,Fashion,Watch,Nexa,22.48,13.43
P0032,BrightHome Watch,Fashion,Watch,AlphaTech,273.73,196.12
P0033,UrbanCo Air Fryer,Home & Living,Air Fryer,BrightHome,528.24,325.96
P0034,NovaLite Air Fryer,Home & Living,Air Fryer,MajuMart,641.23,395.68
P0035,AlphaTech Bed Sheet,Home & Living,Bed Sheet,Nexa,138.59,72.57
P0036,UrbanCo Bed Sheet,Home & Living,Bed Sheet,SwiftFit,332.12,203.23
P0037,BrightHome Desk Lamp,Home & Living,Desk Lamp,NovaLite,697.58,491.48
P0038,UrbanCo Desk Lamp,Home & Living,Desk Lamp,UrbanCo,17.97,12.89
P0039,AlphaTech Storage Box,Home & Living,Storage Box,MajuMart,488.55,342.14
P0040,AlphaTech Storage Box,Home & Living,Storage Box,MajuMart,29.57,17.99
P0041,EcoBasics Vacuum Cleaner,Home & Living,Vacuum Cleaner,NovaLite,77.11,55.18
P0042,NovaLite Vacuum Cleaner,Home & Living,Vacuum Cleaner,BrightHome,777.79,531.95
P0043,SwiftFit Mug Set,Home & Living,Mug Set,ZenCare,155.73,102.99
P0044,NovaLite Mug Set,Home & Living,Mug Set,NovaLite,730.43,439.65
P0045,AlphaTech Chair,Home & Living,Chair,NovaLite,18.62,9.04
P0046,Nexa Chair,Home & Living,Chair,NovaLite,321.1,154.75
P0047,SwiftFit Table,Home & Living,Table,UrbanCo,19.02,9.29
P0048,ZenCare Table,Home & Living,Table,NovaLite,248.69,138.07
P0049,DailyChoice Cleanser,Beauty & Health,Cleanser,DailyChoice,61.34,41.42
P0050,EcoBasics Cleanser,Beauty & Health,Cleanser,NovaLite,49.22,34.05
P0051,SwiftFit Moisturizer,Beauty & Health,Moisturizer,EcoBasics,10.6,6.97
P0052,Nexa Moisturizer,Beauty & Health,Moisturizer,UrbanCo,39.42,28.12
P0053,UrbanCo Sunscreen,Beauty & Health,Sunscreen,NovaLite,9.66,6.54
P0054,MajuMart Sunscreen,Beauty & Health,Sunscreen,EcoBasics,15.61,9.75
P0055,UrbanCo Vitamin C Serum,Beauty & Health,Vitamin C Serum,ZenCare,15.06,9.11
P0056,UrbanCo Vitamin C Serum,Beauty & Health,Vitamin C Serum,Nexa,126.52,89.97
P0057,Nexa Shampoo,Beauty & Health,Shampoo,UrbanCo,85.55,53.55
P0058,MajuMart Shampoo,Beauty & Health,Shampoo,EcoBasics,163.47,115.92
P0059,EcoBasics Body Wash,Beauty & Health,Body Wash,Nexa,51.45,27.67
P0060,EcoBasics Body Wash,Beauty & Health,Body Wash,BrightHome,13.88,6.67
P0061,BrightHome Face Mask,Beauty & Health,Face Mask,EcoBasics,163.52,113.15
P0062,AlphaTech Face Mask,Beauty & Health,Face Mask,ZenCare,96.34,65.24
