order_item_id,order_id,order_date,customer_id,product_id,category,quantity,unit_price,discount_amount,shipping_fee,payment_method,order_status,line_revenue,gross_profit
OI0000001,O000001,2025-05-05,C00001,P0074,Sports,3,238.49,0.0,6.9,Credit Card,Delivered,722.37,263.28
OI0000002,O000002,2025-04-25,C00001,P0077,Sports,1,26.61,3.99,6.9,Credit Card,Delivered,29.52,3.86
OI0000003,O000003,2026-03-17,C00001,P0070,Sports,1,199.54,19.95,4.9,E-Wallet,Processing,184.49,66.77
OI0000004,O000004,2026-02-04,C00001,P0111,Groceries,1,59.31,0.0,0,E-Wallet,Shipped,59.31,26.02
OI0000005,O000004,2026-02-04,C00001,P0071,Sports,2,275.29,0.0,6.9,E-Wallet,Shipped,557.48,239.6
OI0000006,O000005,2026-03-29,C00001,P0031,Fashion,1,22.48,1.12,4.9,Online Banking,Delivered,26.26,7.93
OI0000007,O000006,2025-10-23,C00001,P0072,Sports,2,22.05,2.21,6.9,Credit Card,Cancelled,48.79,13.03
OI0000008,O000006,2025-10-23,C00001,P0011,Electronics,2,2463.73,0.0,6.9,Credit Card,Cancelled,4934.36,2058.68
OI0000009,O000007,2025-12-25,C00001,P0085,Books & Stationery,2,16.02,0.0,0,Online Banking,Delivered,32.04,15.52
OI0000010,O000008,2025-04-29,C00001,P0071,Sports,3,275.29,0.0,8.9,E-Wallet,Delivered,834.77,359.4
OI0000011,O000008,2025-04-29,C00001,P0013,Electronics,1,143.29,14.33,6.9,E-Wallet,Delivered,135.86,57.49
OI0000012,O000009,2026-02-25,C00001,P0086,Books & Stationery,2,67.28,0.0,4.9,Online Banking,Delivered,139.46,49.92
OI0000013,O000010,2026-02-28,C00002,P0025,Fashion,1,55.69,0.0,4.9,Credit Card,Cancelled,60.59,13.96
OI0000014,O000010,2026-02-28,C00002,P0028,Fashion,1,20.13,3.02,0,Credit Card,Cancelled,17.11,5.37
OI0000015,O000011,2026-02-06,C00002,P0089,Books & Stationery,1,24.61,0.0,8.9,Online Banking,Delivered,33.51,12.52
OI0000016,O000012,2025-08-23,C00002,P0024,Fashion,1,38.33,0.0,6.9,Credit Card,Processing,45.23,13.88
OI0000017,O000013,2025-10-21,C00002,P0024,Fashion,1,38.33,1.92,4.9,E-Wallet,Delivered,41.31,11.96
OI0000018,O000013,2025-10-21,C00002,P0022,Fashion,1,31.66,1.58,0,E-Wallet,Delivered,30.08,10.62
OI0000019,O000014,2025-09-17,C00002,P0023,Fashion,1,38.65,1.93,8.9,Online Banking,Delivered,45.62,15.59
OI0000020,O000014,2025-09-17,C00002,P0018,Fashion,1,78.83,3.94,4.9,Online Banking,Delivered,79.79,31.31
OI0000021,O000015,2025-03-09,C00002,P0045,Home & Living,1,18.62,0.0,0,Credit Card,Delivered,18.62,9.58
OI0000022,O000015,2025-03-09,C00002,P0074,Sports,3,238.49,0.0,8.9,Credit Card,Delivered,724.37,263.28
OI0000023,O000016,2025-05-15,C00002,P0073,Sports,1,518.63,25.93,8.9,Credit Card,Delivered,501.6,112.73
OI0000024,O000017,2025-03-24,C00002,P0030,Fashion,2,149.12,14.91,4.9,Credit Card,Delivered,288.23,96.93
OI0000025,O000018,2025-12-28,C00002,P0005,Electronics,3,1356.34,0.0,0,Online Banking,Processing,4069.02,1345.38
OI0000026,O000019,2026-03-20,C00002,P0078,Sports,1,580.2,58.02,8.9,Online Banking,Delivered,531.08,117.25
OI0000027,O000020,2026-04-04,C00002,P0021,Fashion,1,20.23,2.02,0,E-Wallet,Delivered,18.21,3.51
OI0000028,O000020,2026-04-04,C00002,P0030,Fashion,1,149.12,0.0,0,E-Wallet,Delivered,149.12,55.92
OI0000029,O000021,2025-10-23,C00003,P0057,Beauty & Health,1,85.55,0.0,6.9,Online Banking,Delivered,92.45,32.0
OI0000030,O000022,2026-02-22,C00003,P0032,Fashion,1,273.73,0.0,6.9,Online Banking,Delivered,280.63,77.61
OI0000031,O000023,2025-12-11,C00003,P0038,Home & Living,1,17.97,0.0,6.9,E-Wallet,Shipped,24.87,5.08
OI0000032,O000023,2025-12-11,C00003,P0050,Beauty & Health,1,49.22,7.38,0,E-Wallet,Shipped,41.84,7.79
OI0000033,O000024,2026-03-30,C00003,P0056,Beauty & Health,1,126.52,6.33,8.9,Online Banking,Cancelled,129.09,30.22
OI0000034,O000025,2025-12-12,C00003,P0102,Groceries,1,53.21,0.0,4.9,E-Wallet,Delivered,58.11,13.54
OI0000035,O000026,2026-04-27,C00003,P0040,Home & Living,1,29.57,1.48,6.9,Credit Card,Delivered,34.99,10.1
OI0000036,O000026,2026-04-27,C00003,P0049,Beauty & Health,4,61.34,0.0,6.9,Credit Card,Delivered,252.26,79.68
OI0000037,O000027,2025-11-30,C00003,P0051,Beauty & Health,3,10.6,0.0,6.9,Credit Card,Delivered,38.7,10.89
OI0000038,O000028,2026-03-26,C00003,P0049,Beauty & Health,1,61.34,0.0,0,Online Banking,Cancelled,61.34,19.92
OI0000039,O000029,2026-01-07,C00003,P0089,Books & Stationery,1,24.61,3.69,8.9,E-Wallet,Cancelled,29.82,8.83
OI0000040,O000030,2026-03-02,C00004,P0077,Sports,1,26.61,5.32,4.9,Online Banking,Processing,26.19,2.53
OI0000041,O000030,2026-03-02,C00004,P0044,Home & Living,1,730.43,0.0,6.9,Online Banking,Processing,737.33,290.78
